"screenName","id","time","isRetweet","isPinned","isReplyTo","text","hashtags__hashtag","hashtags__indices__001","hashtags__indices__002","userMentions__screenName","userMentions__indices__001","userMentions__indices__002","urls__url","urls__indices__001","urls__indices__002","images__001","images__002","images__003","images__004","replyCount","retweetCount","favoriteCount","quote__screenName","quote__id","quote__text"
"MarsWxReport","1105167628102979586","2019-03-11T18:04:30.000Z","False","False","False","InSight sol 101 (2019-03-10) low -96.5ºC (-141.6ºF) high -14.1ºC (6.7ºF)\nwinds from the SW at 4.3 m/s (9.6 mph) gusting to 10.6 m/s (23.7 mph)\npressure at 7.20 hPa","","","","","","","","","","https://pbs.twimg.com/media/D1ZYGZbWkAE3ewu.jpg","","","","0","7","21","","",""
"MarsWxReport","1105167594812780544","2019-03-11T18:04:22.000Z","False","False","False","InSight sol 100 (2019-03-08) low -96.0ºC (-140.8ºF) high -14.3ºC (6.3ºF)\nwinds from the SW at 4.2 m/s (9.4 mph) gusting to 14.9 m/s (33.3 mph)\npressure at 7.20 hPa","","","","","","","","","","","","","","0","1","8","","",""
"MarsWxReport","1104404534200274944","2019-03-09T15:32:14.000Z","False","False","False","InSight sol 99 (2019-03-07) low -95.8ºC (-140.4ºF) high -13.3ºC (8.1ºF)\nwinds from the SW at 4.2 m/s (9.5 mph) gusting to 12.0 m/s (26.8 mph)\npressure at 7.20 hPa","","","","","","","","","","https://pbs.twimg.com/media/D1OiEgYX0AItH6w.jpg","","","","0","12","20","","",""
"MarsWxReport","1104404492341178371","2019-03-09T15:32:04.000Z","False","False","False","InSight sol 98 (2019-03-06) low -94.6ºC (-138.4ºF) high -14.8ºC (5.3ºF)\nwinds from the SW at 4.1 m/s (9.2 mph) gusting to 10.8 m/s (24.2 mph)\npressure at 7.20 hPa","","","","","","","","","","","","","","0","3","14","","",""
"MarsWxReport","1103669309203795969","2019-03-07T14:50:43.000Z","False","False","False","InSight sol 97 (2019-03-05) low -95.3ºC (-139.6ºF) high -14.8ºC (5.3ºF)\nwinds from the SW at 4.9 m/s (10.9 mph) gusting to 12.9 m/s (28.9 mph)\npressure at 7.20 hPa","","","","","","","","","","https://pbs.twimg.com/media/D1EFYw_XcAEDSZX.jpg","","","","2","14","28","","",""
"MarsWxReport","1103309920370212864","2019-03-06T15:02:38.000Z","False","False","False","InSight sol 96 (2019-03-05) low -95.9ºC (-140.6ºF) high -19.1ºC (-2.4ºF)\npressure at 7.20 hPa","","","","","","","","","","https://pbs.twimg.com/media/D0--hkiVAAMcI4E.jpg","","","","0","7","16","","",""
"MarsWxReport","1102964843521310721","2019-03-05T16:11:25.000Z","False","False","False","InSight sol 95 (2019-03-03) low -95.2ºC (-139.3ºF) high -15.8ºC (3.6ºF)\nwinds from the SW at 4.8 m/s (10.8 mph) gusting to 13.2 m/s (29.4 mph)\npressure at 7.20 hPa","","","","","","","","","","https://pbs.twimg.com/media/D06ErcgVAAA2tXb.jpg","","","","1","9","21","","",""
"MarsWxReport","1102964811195805696","2019-03-05T16:11:17.000Z","False","False","False","InSight sol 94 (2019-03-03) low -133.6ºC (-208.4ºF) high -14.4ºC (6.0ºF)\npressure at 7.20 hPa","","","","","","","","","","","","","","1","4","14","","",""
"MarsWxReport","1101842451457814529","2019-03-02T13:51:26.000Z","False","False","False","InSight sol 92 (2019-03-01) low -94.4ºC (-137.9ºF) high -12.9ºC (8.8ºF)\nwinds from the SW at 4.6 m/s (10.2 mph) gusting to 10.4 m/s (23.2 mph)\npressure at 7.20 hPa","","","","","","","","","","https://pbs.twimg.com/media/D0qH3p8XcAAkAtl.jpg","","","","2","9","48","","",""
"MarsWxReport","1101209804998148097","2019-02-28T19:57:31.000Z","False","False","False","InSight sol 91 (2019-02-28) low -95.0ºC (-139.0ºF) high -13.9ºC (7.0ºF)\nwinds from the SW at 4.2 m/s (9.5 mph) gusting to 14.0 m/s (31.3 mph)\npressure at 7.20 hPa","","","","","","","","","","https://pbs.twimg.com/media/D0hIeyVX0AEMh3e.jpg","","","","0","8","24","","",""
"MarsWxReport","1101208672443748353","2019-02-28T19:53:01.000Z","False","False","False","InSight sol 90 (2019-02-26) low -93.9ºC (-137.0ºF) high -12.1ºC (10.2ºF)\nwinds from the SW at 4.2 m/s (9.3 mph) gusting to 12.0 m/s (26.9 mph)\npressure at 7.20 hPa","","","","","","","","","","","","","","0","4","10","","",""
"MarsWxReport","1100870156656562181","2019-02-27T21:27:53.000Z","False","False","False","InSight sol 89 (2019-02-26) low -95.1ºC (-139.2ºF) high -14.4ºC (6.1ºF)\nwinds from the SW at 4.3 m/s (9.6 mph) gusting to 12.4 m/s (27.8 mph)\npressure at 7.20 hPa","","","","","","","","","","https://pbs.twimg.com/media/D0cTkpKW0AM3v1U.jpg","","","","0","10","21","","",""
"MarsWxReport","1100736925055533057","2019-02-27T12:38:28.000Z","False","False","True","MC Hammer take 5. \n\nJPL 🇺🇸 was going to tell ✍🏽the Deep Space Network 📡 to tell the Mars Odyssey orbiter 🛰 to tell @NASAInSight 🔴👁 to tell HP3 🦡 to start hammering 🔨the temperature probe ♨️into Mars but everybody seems to have missed each other. 😐","","","","NASAInSight","109","121","https://www.dlr.de/blogs/en/all-blog-posts/The-InSight-mission-logbook.aspx","234","309","","","","","0","4","10","","",""
"MarsWxReport","1100702193785679872","2019-02-27T10:20:27.000Z","False","False","False","Stop, HP3 deployment time https://mars.nasa.gov/news/8412/nasas-insight-prepares-to-take-mars-temperature/?site=insight …","","","","","","","https://mars.nasa.gov/news/8412/nasas-insight-prepares-to-take-mars-temperature/?site=insight","26","119","","","","","1","2","10","","",""
"MarsWxReport","1100190541562695680","2019-02-26T00:27:20.000Z","False","False","False","InSight sol 88 (2019-02-25) low -95.2ºC (-139.4ºF) high -17.8ºC (0.0ºF)\nwinds from the SW at 5.2 m/s (11.6 mph) gusting to 19.8 m/s (44.3 mph)\npressure at 7.20 hPa","","","","","","","","","","https://pbs.twimg.com/media/D0Spd0RWsAEDqnL.jpg","","","","0","9","33","","",""
"MarsWxReport","1100190499850387456","2019-02-26T00:27:10.000Z","False","False","False","InSight sol 87 (2019-02-23) low -94.2ºC (-137.5ºF) high -16.0ºC (3.3ºF)\nwinds from the WNW at 4.4 m/s (9.7 mph) gusting to 11.7 m/s (26.1 mph)\npressure at 7.20 hPa","","","","","","","","","","","","","","0","2","7","","",""
"MarsWxReport","1100190498889912321","2019-02-26T00:27:10.000Z","False","False","False","InSight sol 86 (2019-02-22) low -95.3ºC (-139.5ºF) high -13.7ºC (7.3ºF)\nwinds from the SW at 4.1 m/s (9.2 mph) gusting to 13.2 m/s (29.5 mph)\npressure at 7.20 hPa","","","","","","","","","","","","","","0","2","6","","",""
"MarsWxReport","1100190497384091654","2019-02-26T00:27:09.000Z","False","False","False","InSight sol 85 (2019-02-21) low -95.7ºC (-140.3ºF) high -16.0ºC (3.1ºF)\nwinds from the WNW at 4.4 m/s (9.9 mph) gusting to 10.5 m/s (23.5 mph)\npressure at 7.20 hPa","","","","","","","","","","","","","","0","2","8","","",""
"MarsWxReport","1099314753867055104","2019-02-23T14:27:16.000Z","False","False","False","Curiosity is again operating normally following a boot problem first experienced last Friday. Look for more Gale Crater weather conditions soon.\nhttps://www.jpl.nasa.gov/news/news.php?feature=7339 …","","","","","","","https://www.jpl.nasa.gov/news/news.php?feature=7339","145","196","https://pbs.twimg.com/media/D0GM8K8XgAASsXQ.jpg","","","","1","12","35","","",""
"MarsWxReport","1098709468945281025","2019-02-21T22:22:05.000Z","False","False","False","InSight sol 84 (2019-02-20) low -95.1ºC (-139.2ºF) high -13.2ºC (8.3ºF)\nwinds from the SW at 4.1 m/s (9.3 mph) gusting to 10.8 m/s (24.2 mph)","","","","","","","","","","https://pbs.twimg.com/media/Dz9mcD5XcAAIH-v.jpg","","","","7","24","53","","",""
"MarsWxReport","1098709442101682176","2019-02-21T22:21:58.000Z","False","False","False","InSight sol 83 (2019-02-19) low -95.0ºC (-139.0ºF) high -11.7ºC (11.0ºF)\nwinds from the SW at 4.1 m/s (9.2 mph) gusting to 10.5 m/s (23.6 mph)\npressure at 7.20 hPa","","","","","","","","","","","","","","1","3","9","","",""
"MarsWxReport","1098709441149657090","2019-02-21T22:21:58.000Z","False","False","False","InSight sol 82 (2019-02-18) low -94.8ºC (-138.6ºF) high -12.3ºC (9.8ºF)\nwinds from the SW at 4.1 m/s (9.3 mph) gusting to 11.3 m/s (25.2 mph)\npressure at 7.20 hPa","","","","","","","","","","","","","","0","2","6","","",""
"MarsWxReport","1098087077701476353","2019-02-20T05:08:55.000Z","False","False","False","InSight sol 81 (2019-02-17), high -17/2F, low -95/-138F, pressure at 7.23hPa, winds from the WNW at 12 mph gusting to 37.8 mph\n\nWelcome to the Mars Weather team @NASAInSight!\nhttps://mars.nasa.gov/insight/weather/ …","","","","NASAInSight","161","173","https://mars.nasa.gov/insight/weather/","175","213","https://pbs.twimg.com/media/Dz0wLt_WsAcRbqh.jpg","","","","0","12","21","","",""
